watersupply,population,waterload,time,area
40,2184,23.7,2022/1/1,北京市
33.6,1363,16.6,2022/1/1,天津市
182.4,7420,188,2022/1/1,河北省
72.1,3481,153.5,2022/1/1,山西省
191.5,2401,509.2,2022/1/1,内蒙古自治区
126,4197,561.7,2022/1/1,辽宁省
104.5,2348,705.1,2022/1/1,吉林省
307.7,3099,918.5,2022/1/1,黑龙江省
105.7,2475,33.1,2022/1/1,上海市
611.8,8515,192.8,2022/1/1,江苏省
167.8,6577,934.3,2022/1/1,浙江省
300.5,6127,545.2,2022/1/1,安徽省
167.9,4188,1174.7,2022/1/1,福建省
269.8,4528,1556.2,2022/1/1,江西省
217,10163,508.9,2022/1/1,山东省
228,9872,249.4,2022/1/1,河南省
353.1,5844,714.2,2022/1/1,湖北省
331,6604,1683.8,2022/1/1,湖南省
401.7,12657,2223.6,2022/1/1,广东省
264,5047,2208.5,2022/1/1,广西壮族自治区
45.6,1027,363.8,2022/1/1,海南省
68.8,3213,373.5,2022/1/1,重庆市
251.6,8374,2209.2,2022/1/1,四川省
96.3,3856,912.4,2022/1/1,贵州省
163.4,4693,1742.8,2022/1/1,云南省
31.8,364,4139.7,2022/1/1,西藏自治区
94.9,3956,365.8,2022/1/1,陕西省
112.9,2492,231,2022/1/1,甘肃省
24.5,595,725.7,2022/1/1,青海省
66.3,728,8.9,2022/1/1,宁夏回族自治区
566.4,2587,914.1,2022/1/1,新疆维吾尔自治区
40.8,2189,61.3,2021/1/1,北京市
32.3,1373,39.8,2021/1/1,天津市
181.9,7448,376.6,2021/1/1,河北省
72.6,3480,207.9,2021/1/1,山西省
191.7,2400,942.9,2021/1/1,内蒙古自治区
129,4229,511.7,2021/1/1,辽宁省
110.2,2375,459.2,2021/1/1,吉林省
324.5,3125,1196.3,2021/1/1,黑龙江省
105.8,2489,53.9,2021/1/1,上海市
567.5,8505,500.8,2021/1/1,江苏省
166.4,6540,1344.7,2021/1/1,浙江省
271.7,6113,883.3,2021/1/1,安徽省
182.6,4187,758.7,2021/1/1,福建省
249.4,4517,1419.7,2021/1/1,江西省
210.1,10170,525.3,2021/1/1,山东省
222.9,9883,689.2,2021/1/1,河南省
336.1,5830,1188.8,2021/1/1,湖北省
322.4,6622,1790.6,2021/1/1,湖南省
407,12684,1221.2,2021/1/1,广东省
268.5,5037,1541.2,2021/1/1,广西壮族自治区
45,1020,341.6,2021/1/1,海南省
72.1,3212,750.8,2021/1/1,重庆市
244.3,8372,2924.5,2021/1/1,四川省
104.1,3852,1091.4,2021/1/1,贵州省
160.3,4690,1615.8,2021/1/1,云南省
32.4,366,4408.9,2021/1/1,西藏自治区
91.8,3954,852.5,2021/1/1,陕西省
110.1,2490,279,2021/1/1,甘肃省
24.5,594,842.2,2021/1/1,青海省
68.1,725,9.3,2021/1/1,宁夏回族自治区
573.9,2589,809,2021/1/1,新疆维吾尔自治区
40.6,2189,25.8,2020/1/1,北京市
27.8,1387,13.3,2020/1/1,天津市
182.8,7464,146.3,2020/1/1,河北省
72.8,3490,115.2,2020/1/1,山西省
194.4,2403,503.9,2020/1/1,内蒙古自治区
129.3,4255,397.1,2020/1/1,辽宁省
117.7,2399,586.2,2020/1/1,吉林省
314.1,3171,1419.9,2020/1/1,黑龙江省
97.5,2488,58.6,2020/1/1,上海市
572,8477,543.4,2020/1/1,江苏省
163.9,6468,1026.6,2020/1/1,浙江省
268.3,6105,1280.4,2020/1/1,安徽省
183,4161,760.3,2020/1/1,福建省
244.1,4519,1685.6,2020/1/1,江西省
222.5,10165,375.3,2020/1/1,山东省
237.1,9941,408.6,2020/1/1,河南省
278.9,5745,1754.7,2020/1/1,湖北省
305.1,6645,2118.9,2020/1/1,湖南省
405.1,12624,1626,2020/1/1,广东省
261.1,5019,2114.8,2020/1/1,广西壮族自治区
44,1012,263.6,2020/1/1,海南省
70.1,3209,766.9,2020/1/1,重庆市
236.9,8371,3237.3,2020/1/1,四川省
90.1,3858,1328.6,2020/1/1,贵州省
156,4722,1799.2,2020/1/1,云南省
32.2,366,4597.3,2020/1/1,西藏自治区
90.6,3955,419.6,2020/1/1,陕西省
109.9,2501,408,2020/1/1,甘肃省
24.3,593,1011.9,2020/1/1,青海省
70.2,721,11,2020/1/1,宁夏回族自治区
570.4,2590,801,2020/1/1,新疆维吾尔自治区
41.7,2190,24.6,2019/1/1,北京市
28.4,1385,8.1,2019/1/1,天津市
182.3,7447,113.5,2019/1/1,河北省
76,3497,97.3,2019/1/1,山西省
190.9,2415,447.9,2019/1/1,内蒙古自治区
130.3,4277,256,2019/1/1,辽宁省
115.4,2448,506.1,2019/1/1,吉林省
310.4,3255,1511.4,2019/1/1,黑龙江省
100.9,2481,48.3,2019/1/1,上海市
619.1,8469,231.7,2019/1/1,江苏省
165.8,6375,1321.5,2019/1/1,浙江省
277.7,6092,539.9,2019/1/1,安徽省
177.5,4137,1363.9,2019/1/1,福建省
253.3,4516,2051.6,2019/1/1,江西省
225.3,10106,195.2,2019/1/1,山东省
237.8,9901,168.6,2019/1/1,河南省
303.2,5927,613.7,2019/1/1,湖北省
333,6640,2098.3,2019/1/1,湖南省
412.3,12489,2068.2,2019/1/1,广东省
283.4,4982,2105.1,2019/1/1,广西壮族自治区
46.4,995,252.3,2019/1/1,海南省
76.5,3188,498.1,2019/1/1,重庆市
252.4,8351,2748.9,2019/1/1,四川省
108.1,3848,1117,2019/1/1,贵州省
154.9,4714,1533.8,2019/1/1,云南省
32,361,4496.9,2019/1/1,西藏自治区
92.6,3944,495.3,2019/1/1,陕西省
110,2509,325.9,2019/1/1,甘肃省
26.2,590,919.3,2019/1/1,青海省
69.9,717,12.6,2019/1/1,宁夏回族自治区
587.7,2559,870.1,2019/1/1,新疆维吾尔自治区
39.3,2192,35.5,2018/1/1,北京市
28.4,1383,17.6,2018/1/1,天津市
182.4,7426,164.1,2018/1/1,河北省
74.3,3502,121.9,2018/1/1,山西省
192.1,2422,461.5,2018/1/1,内蒙古自治区
130.3,4291,235.4,2018/1/1,辽宁省
119.5,2484,481.2,2018/1/1,吉林省
343.9,3327,1011.4,2018/1/1,黑龙江省
103.4,2475,38.7,2018/1/1,上海市
592,8446,378.4,2018/1/1,江苏省
173.8,6273,866.2,2018/1/1,浙江省
285.8,6076,835.8,2018/1/1,安徽省
186.9,4104,778.5,2018/1/1,福建省
