chazhi,watersupply,population,waterload,time,area
13.3,40,2184,23.7,2022/1/1,北京市
7.8,33.6,1363,16.6,2022/1/1,天津市
41.7,182.4,7420,188,2022/1/1,河北省
-36.6,72.1,3481,153.5,2022/1/1,山西省
-266.1,191.5,2401,509.2,2022/1/1,内蒙古自治区
-155.5,126,4197,561.7,2022/1/1,辽宁省
-224.5,104.5,2348,705.1,2022/1/1,吉林省
-392.7,307.7,3099,918.5,2022/1/1,黑龙江省
93.1,105.7,2475,33.1,2022/1/1,上海市
321.6,611.8,8515,192.8,2022/1/1,江苏省
-467.9,167.8,6577,934.3,2022/1/1,浙江省
-291,300.5,6127,545.2,2022/1/1,安徽省
-527.3,167.9,4188,1174.7,2022/1/1,福建省
-831.1,269.8,4528,1556.2,2022/1/1,江西省
-134.6,217,10163,508.9,2022/1/1,山东省
-205.9,228,9872,249.4,2022/1/1,河南省
-683.7,353.1,5844,714.2,2022/1/1,湖北省
-1317.7,331,6604,1683.8,2022/1/1,湖南省
-722.9,401.7,12657,2223.6,2022/1/1,广东省
-1313.7,264,5047,2208.5,2022/1/1,广西壮族自治区
-124.8,45.6,1027,363.8,2022/1/1,海南省
-491.3,68.8,3213,373.5,2022/1/1,重庆市
-2223.8,251.6,8374,2209.2,2022/1/1,四川省
-896.7,96.3,3856,912.4,2022/1/1,贵州省
-1959.4,163.4,4693,1742.8,2022/1/1,云南省
-4637.2,31.8,364,4139.7,2022/1/1,西藏自治区
-233.9,94.9,3956,365.8,2022/1/1,陕西省
-50.1,112.9,2492,231,2022/1/1,甘肃省
-576.6,24.5,595,725.7,2022/1/1,青海省
64.1,66.3,728,8.9,2022/1/1,宁夏回族自治区
-358.3,566.4,2587,914.1,2022/1/1,新疆维吾尔自治区
11.3,40.8,2189,61.3,2021/1/1,北京市
12.5,32.3,1373,39.8,2021/1/1,天津市
67.2,181.9,7448,376.6,2021/1/1,河北省
-28.4,72.6,3480,207.9,2021/1/1,山西省
-281.4,191.7,2400,942.9,2021/1/1,内蒙古自治区
-243.9,129,4229,511.7,2021/1/1,辽宁省
-461.3,110.2,2375,459.2,2021/1/1,吉林省
-472.8,324.5,3125,1196.3,2021/1/1,黑龙江省
96.8,105.8,2489,53.9,2021/1/1,上海市
52.7,567.5,8505,500.8,2021/1/1,江苏省
-804.5,166.4,6540,1344.7,2021/1/1,浙江省
-511.3,271.7,6113,883.3,2021/1/1,安徽省
-1214.2,182.6,4187,758.7,2021/1/1,福建省
-1302,249.4,4517,1419.7,2021/1/1,江西省
-204.9,210.1,10170,525.3,2021/1/1,山东省
-360.7,222.9,9883,689.2,2021/1/1,河南省
-680.6,336.1,5830,1188.8,2021/1/1,湖北省
-1342.6,322.4,6622,1790.6,2021/1/1,湖南省
-1288.5,407,12684,1221.2,2021/1/1,广东省
-1407.9,268.5,5037,1541.2,2021/1/1,广西壮族自治区
-263.2,45,1020,341.6,2021/1/1,海南省
-438.6,72.1,3212,750.8,2021/1/1,重庆市
-2710.3,244.3,8372,2924.5,2021/1/1,四川省
-737.4,104.1,3852,1091.4,2021/1/1,贵州省
-1699.6,160.3,4690,1615.8,2021/1/1,云南省
-4417.9,32.4,366,4408.9,2021/1/1,西藏自治区
-411.8,91.8,3954,852.5,2021/1/1,陕西省
-146.6,110.1,2490,279,2021/1/1,甘肃省
-845.4,24.5,594,842.2,2021/1/1,青海省
69.6,68.1,725,9.3,2021/1/1,宁夏回族自治区
-454.3,573.9,2589,809,2021/1/1,新疆维吾尔自治区
12.2,40.6,2189,25.8,2020/1/1,北京市
12.9,27.8,1387,13.3,2020/1/1,天津市
96.7,182.8,7464,146.3,2020/1/1,河北省
-29.2,72.8,3490,115.2,2020/1/1,山西省
-232.6,194.4,2403,503.9,2020/1/1,内蒙古自治区
-120.2,129.3,4255,397.1,2020/1/1,辽宁省
-250.7,117.7,2399,586.2,2020/1/1,吉林省
-441.7,314.1,3171,1419.9,2020/1/1,黑龙江省
91,97.5,2488,58.6,2020/1/1,上海市
142,572,8477,543.4,2020/1/1,江苏省
-695.3,163.9,6468,1026.6,2020/1/1,浙江省
-338.6,268.3,6105,1280.4,2020/1/1,安徽省
-1436.2,183,4161,760.3,2020/1/1,福建省
-1424.3,244.1,4519,1685.6,2020/1/1,江西省
26.5,222.5,10165,375.3,2020/1/1,山东省
-94.8,237.1,9941,408.6,2020/1/1,河南省
-380.9,278.9,5745,1754.7,2020/1/1,湖北省
-1442.6,305.1,6645,2118.9,2020/1/1,湖南省
-1756.8,405.1,12624,1626,2020/1/1,广东省
-1566.7,261.1,5019,2114.8,2020/1/1,广西壮族自治区
-181.1,44,1012,263.6,2020/1/1,海南省
-307.1,70.1,3209,766.9,2020/1/1,重庆市
-1650.7,236.9,8371,3237.3,2020/1/1,四川省
-714.6,90.1,3858,1328.6,2020/1/1,贵州省
-1566.9,156,4722,1799.2,2020/1/1,云南省
-4122.1,32.2,366,4597.3,2020/1/1,西藏自治区
-191.4,90.6,3955,419.6,2020/1/1,陕西省
-62.3,109.9,2501,408,2020/1/1,甘肃省
-536.8,24.3,593,1011.9,2020/1/1,青海省
67,70.2,721,11,2020/1/1,宁夏回族自治区
-439.7,570.4,2590,801,2020/1/1,新疆维吾尔自治区
11,41.7,2190,24.6,2019/1/1,北京市
12.1,28.4,1385,8.1,2019/1/1,天津市
82.7,182.3,7447,113.5,2019/1/1,河北省
-44.7,76,3497,97.3,2019/1/1,山西省
-115.9,190.9,2415,447.9,2019/1/1,内蒙古自治区
-118.8,130.3,4277,256,2019/1/1,辽宁省
-245.2,115.4,2448,506.1,2019/1/1,吉林省
-200.4,310.4,3255,1511.4,2019/1/1,黑龙江省
85.7,100.9,2481,48.3,2019/1/1,上海市
62.6,619.1,8469,231.7,2019/1/1,江苏省
-681.1,165.8,6375,1321.5,2019/1/1,浙江省
-480.4,277.7,6092,539.9,2019/1/1,安徽省
-876.6,177.5,4137,1363.9,2019/1/1,福建省
-878.1,253.3,4516,2051.6,2019/1/1,江西省
-167.6,225.3,10106,195.2,2019/1/1,山东省
-255.9,237.8,9901,168.6,2019/1/1,河南省
-756.4,303.2,5927,613.7,2019/1/1,湖北省
-1102.2,333,6640,2098.3,2019/1/1,湖南省
-1118.7,412.3,12489,2068.2,2019/1/1,广东省
-1075.9,283.4,4982,2105.1,2019/1/1,广西壮族自治区
-236.8,46.4,995,252.3,2019/1/1,海南省
-585.6,76.5,3188,498.1,2019/1/1,重庆市
-2085.8,252.4,8351,2748.9,2019/1/1,四川省
-956.6,108.1,3848,1117,2019/1/1,贵州省
-2105.5,154.9,4714,1533.8,2019/1/1,云南省
-4284.7,32,361,4496.9,2019/1/1,西藏自治区
-295.5,92.6,3944,495.3,2019/1/1,陕西省
-106.2,110,2509,325.9,2019/1/1,甘肃省
-630.5,26.2,590,919.3,2019/1/1,青海省
60.6,69.9,717,12.6,2019/1/1,宁夏回族自治区
-346.1,587.7,2559,870.1,2019/1/1,新疆维吾尔自治区
0.9,39.3,2192,35.5,2018/1/1,北京市
4,28.4,1383,17.6,2018/1/1,天津市
34,182.4,7426,164.1,2018/1/1,河北省
-30.5,74.3,3502,121.9,2018/1/1,山西省
-236.3,192.1,2422,461.5,2018/1/1,内蒙古自治区
-123.2,130.3,4291,235.4,2018/1/1,辽宁省
-227.9,119.5,2484,481.2,2018/1/1,吉林省
-165,343.9,3327,1011.4,2018/1/1,黑龙江省
82.8,103.4,2475,38.7,2018/1/1,上海市
180.3,592,8446,378.4,2018/1/1,江苏省
-638.6,173.8,6273,866.2,2018/1/1,浙江省
-432.9,285.8,6076,835.8,2018/1/1,安徽省
-838.9,186.9,4104,778.5,2018/1/1,福建省
-1122,250.8,4513,1149.1,2018/1/1,江西省
-108.8,212.7,10077,343.3,2018/1/1,山东省
-143.8,234.6,9864,339.8,2018/1/1,河南省
-763.2,296.9,5917,857,2018/1/1,湖北省
-1276.4,337,6635,1342.9,2018/1/1,湖南省
-1745.3,420.9,12348,1895.1,2018/1/1,广东省
-1972.4,287.8,4947,1831,2018/1/1,广西壮族自治区
-372.2,45.1,982,418.1,2018/1/1,海南省
-494.1,77.2,3163,524.2,2018/1/1,重庆市
-2282.3,259.1,8321,2952.6,2018/1/1,四川省
-1038.8,106.8,3822,978.7,2018/1/1,贵州省
-2161.4,155.7,4703,2206.5,2018/1/1,云南省
-4522.7,31.7,354,4658.2,2018/1/1,西藏自治区
-218.5,93.7,3931,371.4,2018/1/1,陕西省
-65.3,112.3,2515,333.3,2018/1/1,甘肃省
-623.7,26.1,587,961.9,2018/1/1,青海省
65,66.2,710,14.7,2018/1/1,宁夏回族自治区
