量,时间,地区
2184,2022/1/1,北京市
1363,2022/1/1,天津市
7420,2022/1/1,河北省
3481,2022/1/1,山西省
2401,2022/1/1,内蒙古自治区
4197,2022/1/1,辽宁省
2348,2022/1/1,吉林省
3099,2022/1/1,黑龙江省
2475,2022/1/1,上海市
8515,2022/1/1,江苏省
6577,2022/1/1,浙江省
6127,2022/1/1,安徽省
4188,2022/1/1,福建省
4528,2022/1/1,江西省
10163,2022/1/1,山东省
9872,2022/1/1,河南省
5844,2022/1/1,湖北省
6604,2022/1/1,湖南省
12657,2022/1/1,广东省
5047,2022/1/1,广西壮族自治区
1027,2022/1/1,海南省
3213,2022/1/1,重庆市
8374,2022/1/1,四川省
3856,2022/1/1,贵州省
4693,2022/1/1,云南省
364,2022/1/1,西藏自治区
3956,2022/1/1,陕西省
2492,2022/1/1,甘肃省
595,2022/1/1,青海省
728,2022/1/1,宁夏回族自治区
2587,2022/1/1,新疆维吾尔自治区
2189,2021/1/1,北京市
1373,2021/1/1,天津市
7448,2021/1/1,河北省
3480,2021/1/1,山西省
2400,2021/1/1,内蒙古自治区
4229,2021/1/1,辽宁省
2375,2021/1/1,吉林省
3125,2021/1/1,黑龙江省
2489,2021/1/1,上海市
8505,2021/1/1,江苏省
6540,2021/1/1,浙江省
6113,2021/1/1,安徽省
4187,2021/1/1,福建省
4517,2021/1/1,江西省
10170,2021/1/1,山东省
9883,2021/1/1,河南省
5830,2021/1/1,湖北省
6622,2021/1/1,湖南省
12684,2021/1/1,广东省
5037,2021/1/1,广西壮族自治区
1020,2021/1/1,海南省
3212,2021/1/1,重庆市
8372,2021/1/1,四川省
3852,2021/1/1,贵州省
4690,2021/1/1,云南省
366,2021/1/1,西藏自治区
3954,2021/1/1,陕西省
2490,2021/1/1,甘肃省
594,2021/1/1,青海省
725,2021/1/1,宁夏回族自治区
2589,2021/1/1,新疆维吾尔自治区
2189,2020/1/1,北京市
1387,2020/1/1,天津市
7464,2020/1/1,河北省
3490,2020/1/1,山西省
2403,2020/1/1,内蒙古自治区
4255,2020/1/1,辽宁省
2399,2020/1/1,吉林省
3171,2020/1/1,黑龙江省
2488,2020/1/1,上海市
8477,2020/1/1,江苏省
6468,2020/1/1,浙江省
6105,2020/1/1,安徽省
4161,2020/1/1,福建省
4519,2020/1/1,江西省
10165,2020/1/1,山东省
9941,2020/1/1,河南省
5745,2020/1/1,湖北省
6645,2020/1/1,湖南省
12624,2020/1/1,广东省
5019,2020/1/1,广西壮族自治区
1012,2020/1/1,海南省
3209,2020/1/1,重庆市
8371,2020/1/1,四川省
3858,2020/1/1,贵州省
4722,2020/1/1,云南省
366,2020/1/1,西藏自治区
3955,2020/1/1,陕西省
2501,2020/1/1,甘肃省
593,2020/1/1,青海省
721,2020/1/1,宁夏回族自治区
2590,2020/1/1,新疆维吾尔自治区
2190,2019/1/1,北京市
1385,2019/1/1,天津市
7447,2019/1/1,河北省
3497,2019/1/1,山西省
2415,2019/1/1,内蒙古自治区
4277,2019/1/1,辽宁省
2448,2019/1/1,吉林省
3255,2019/1/1,黑龙江省
2481,2019/1/1,上海市
8469,2019/1/1,江苏省
6375,2019/1/1,浙江省
6092,2019/1/1,安徽省
4137,2019/1/1,福建省
4516,2019/1/1,江西省
10106,2019/1/1,山东省
9901,2019/1/1,河南省
5927,2019/1/1,湖北省
6640,2019/1/1,湖南省
12489,2019/1/1,广东省
4982,2019/1/1,广西壮族自治区
995,2019/1/1,海南省
3188,2019/1/1,重庆市
8351,2019/1/1,四川省
3848,2019/1/1,贵州省
4714,2019/1/1,云南省
361,2019/1/1,西藏自治区
3944,2019/1/1,陕西省
2509,2019/1/1,甘肃省
590,2019/1/1,青海省
717,2019/1/1,宁夏回族自治区
2559,2019/1/1,新疆维吾尔自治区
2192,2018/1/1,北京市
1383,2018/1/1,天津市
7426,2018/1/1,河北省
3502,2018/1/1,山西省
2422,2018/1/1,内蒙古自治区
4291,2018/1/1,辽宁省
2484,2018/1/1,吉林省
3327,2018/1/1,黑龙江省
2475,2018/1/1,上海市
8446,2018/1/1,江苏省
6273,2018/1/1,浙江省
6076,2018/1/1,安徽省
4104,2018/1/1,福建省
